,Player,Team,Position,GP,TOI,TOIperGP,Goalsper60,Total Assistsper60,First Assistsper60,Second Assistsper60,Total Pointsper60,IPP,Shotsper60,SHpct,ixGper60,iCFper60,iFFper60,iSCFper60,iHDCFper60,Rush Attemptsper60,Rebounds Createdper60,PIMper60,Total Penaltiesper60,Minorper60,Majorper60,Misconductper60,Penalties Drawnper60,Giveawaysper60,Takeawaysper60,Hitsper60,Hits Takenper60,Shots Blockedper60,Faceoffs Wonper60,Faceoffs Lostper60,Faceoffs pct
566,Jake DeBrusk,BOS,L,77,1157.916667,15.03787879,1.3,0.88,0.57,0.31,2.18,75,9.59,13.51,0.97,14.41,11.66,9.22,4.15,0.52,1.09,0.52,0.26,0.26,0,0,0.78,1.35,1.81,3.21,5.13,1.3,0.52,0.62,2.36
626,Carl Grundstrom,L.A,R,54,588.05,10.88981481,0.92,0.61,0.31,0.31,1.53,75,8.47,10.84,0.88,14.18,11.63,8.06,3.57,0.92,0.71,2.65,1.33,1.33,0,0,0.82,0.92,1.33,13.67,6.84,1.94,0.61,1.33,3.22
648,Andrew Peeke,CBJ,D,82,1759.816667,21.46117886,0.07,0.44,0.14,0.31,0.51,23.08,2.45,2.78,0.11,5.69,3.72,1.23,0.24,0.07,0.24,2.05,0.92,0.85,0.07,0,0.55,1.06,0.51,6.51,3.85,5.76,0,0,-
719,Vinni Lettieri,ANA,C,31,387.9833333,12.5155914,0.77,0.77,0.46,0.31,1.55,62.5,7.73,10,0.71,13.3,10.98,6.96,2.78,0,1.24,0.93,0.46,0.46,0,0,0.31,1.55,0.93,6.19,4.48,2.63,1.86,1.7,8.07
723,Kailer Yamamoto,EDM,R,81,1366.55,16.87098765,0.88,0.92,0.61,0.31,1.8,56.94,5.01,17.54,0.79,8.25,6.81,6.63,4.04,0.04,0.57,1.76,0.7,0.66,0,0.04,1.01,1.67,1.49,5.01,6.67,1.58,0.09,0.18,1.46
755,Morgan Frost,PHI,C,55,765.7333333,13.92242424,0.39,0.86,0.55,0.31,1.25,57.14,6.66,5.88,0.64,11.91,8.7,6.58,2.74,0.16,1.41,1.1,0.55,0.55,0,0,0.31,1.72,2.12,3.45,1.41,2.27,17.71,18.88,3.79
942,Aliaksei Protas,WSH,C,33,390.5,11.83333333,0.46,0.92,0.61,0.31,1.38,47.37,5.22,8.82,0.65,9.37,6.76,7.07,3.53,0.15,1.08,0,0,0,0,0,0.46,2.3,1.23,3.07,5.07,1.84,8.6,10.6,6.88
989,Mike Hardman,CHI,L,21,195.3166667,9.300793651,0,0.61,0.31,0.31,0.61,40,3.69,0,0.52,7.68,5.84,5.22,2.76,0,0.92,3.38,1.23,0.92,0.31,0,0.61,1.54,1.54,18.43,5.22,3.69,0.31,0.31,15.36
23,Alexander Radulov,DAL,R,71,1000.2,14.08732394,0.24,1.08,0.78,0.3,1.32,50,5.52,4.35,0.81,11.34,8.88,7.86,4.38,0.24,0.96,1.8,0.9,0.9,0,0,0.84,1.62,1.8,2.58,4.26,2.88,0.6,0.72,2.73
42,Anton Stralman,ARI,D,74,1579.6,21.34594595,0.3,0.57,0.27,0.3,0.87,34.33,3.61,8.42,0.15,6.88,4.6,2.13,0.49,0.19,0.65,0.46,0.23,0.23,0,0,0.15,1.06,1.22,3.76,2.85,3.8,0,0,-
47,Nick Foligno,BOS,L,64,798.2666667,12.47291667,0.15,0.83,0.53,0.3,0.98,65,7.44,2.02,0.61,11.2,9.62,5.94,3.16,0.9,0.83,4.58,1.73,1.35,0.38,0,0.98,1.05,1.65,12.33,2.86,2.33,1.65,1.28,4.24
101,Tyler Myers,VAN,D,82,1802.616667,21.98313008,0.03,0.57,0.27,0.3,0.6,23.38,4.26,0.78,0.21,8.55,5.76,3.2,0.5,0.1,0.3,2.2,0.83,0.73,0.07,0.03,0.43,1.86,1.07,4.83,4.26,4.93,0,0,-
110,Travis Hamonic,"OTT, VAN",D,43,810.3666667,18.84573643,0.3,0.44,0.15,0.3,0.74,27.78,6.07,4.88,0.26,12.66,8.07,3.18,0.3,0,0.59,1.04,0.52,0.52,0,0,0.37,2.3,0.44,5.4,4.66,6.89,0,0,-
117,Derek Grant,ANA,C,71,1016.266667,14.31361502,0.89,0.83,0.53,0.3,1.71,80.56,6.91,12.82,0.78,11.39,9.15,6.2,4.01,0.24,0.59,1.59,0.47,0.35,0.06,0.06,0.24,1,1.24,4.07,2.24,2.89,12.04,12.75,2.87
206,Mark Pysyk,BUF,D,68,1210.783333,17.80563725,0.15,0.45,0.15,0.3,0.59,30,3.17,4.69,0.19,6.24,4.91,1.59,0.59,0.1,0.2,0.79,0.4,0.4,0,0,0.15,0.99,1.04,2.03,2.87,4.21,0,0,-
266,Sean Couturier,PHI,C,29,591.25,20.38793103,0.61,1.12,0.81,0.3,1.73,56.67,8.02,7.59,0.93,13.8,10.96,7.41,3.45,0.61,1.22,1.42,0.71,0.71,0,0,0.81,1.73,2.54,2.23,3.04,1.83,24.15,19.28,5.64
270,Jamie Oleksiak,SEA,D,72,1391.966667,19.33287037,0.04,0.69,0.39,0.3,0.73,28.33,4.09,1.05,0.3,7.59,5.52,2.54,0.91,0.17,0.6,2.33,0.73,0.52,0.17,0.04,0.39,2.2,1.38,7.85,4.18,3.71,0,0,-
312,Radek Faksa,DAL,C,77,1214.216667,15.76904762,0.25,0.69,0.4,0.3,0.94,70.37,4.4,5.62,0.55,7.41,6.42,4.3,2.37,0.1,0.89,2.57,1.09,0.99,0.1,0,0.84,1.33,1.33,6.37,5.78,3.36,18.93,15.42,2.72
339,Josh Anderson,MTL,R,69,1188.55,17.22536232,0.96,0.66,0.35,0.3,1.62,59.26,7.67,12.5,0.96,14.29,11.41,9.59,4.34,0.66,0.91,3.28,1.21,1.01,0.15,0.05,1.21,1.56,1.67,7.72,3.84,1.77,1.01,1.11,2.4
359,Chad Ruhwedel,PIT,D,78,1195.783333,15.33055556,0.2,0.45,0.15,0.3,0.65,27.08,4.11,4.88,0.16,9.08,6.47,2.06,0.2,0,0.5,0.7,0.35,0.35,0,0,0.5,1.05,0.95,7.48,4.32,4.32,0,0,-
